,headline,url,publisher,date,stock
21,"Parnassus Endeavor Fund Buys FedEx Corp, VF Corp, Expeditors International of Washington Inc, ...",http://www.gurufocus.com/news/1101813/parnassus-endeavor-fund-buys-fedex-corp-vf-corp-expeditors-international-of-washington-inc-sells-gilead-sciences-inc-lam-research-corp-perrigo-co-plc,GuruFocus,2020-04-10 00:00:00,A
22,"Parnassus Fund Buys KLA Corp, Agilent Technologies Inc, Square Inc, Sells Alliance Data Systems ...",http://www.gurufocus.com/news/1101812/parnassus-fund-buys-kla-corp-agilent-technologies-inc-square-inc-sells-alliance-data-systems-corp-cvs-health-corp-hologic-inc,GuruFocus,2020-04-10 00:00:00,A
23,"Lgt Capital Partners Ltd. Buys Microsoft Corp, Stryker Corp, The Estee Lauder Inc, Sells ...",http://www.gurufocus.com/news/1098172/lgt-capital-partners-ltd-buys-microsoft-corp-stryker-corp-the-estee-lauder-inc-sells-newmont-corp-tupperware-brands-corp-the-carlyle-group-inc,GuruFocus,2020-04-07 00:00:00,A
24,"Timing the Market, Is it Possible? - April 07, 2020",http://www.zacks.com/stock/news/858761/timing-the-market-is-it-possible-april-07-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-858761,Zacks,2020-04-07 00:00:00,A
25,Agilent Technologies to Change Location of Annual Meeting,http://www.gurufocus.com/news/1090024/agilent-technologies-to-change-location-of-annual-meeting-,GuruFocus,2020-03-30 00:00:00,A
26,Bill Ackman's Pershing Square Releases Letter to Investors,http://www.gurufocus.com/news/1086307/bill-ackmans-pershing-square-releases-letter-to-investors,GuruFocus,2020-03-26 00:00:00,A
27,Agilent Technologies (A) Gains As Market Dips: What You Should Know,http://www.zacks.com/stock/news/826049/agilent-technologies-a-gains-as-market-dips-what-you-should-know?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_6v1-826049,Zacks,2020-03-20 00:00:00,A
28,Stocks Flashing Renewed Technical Strength: Agilent Technologies,http://www.investors.com/ibd-data-stories/stocks-flashing-renewed-technical-strength-agilent-technologies/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-03-19 00:00:00,A
29,Why Is Agilent (A) Down 19.3% Since Last Earnings Report?,http://www.zacks.com/stock/news/823272/why-is-agilent-a-down-193-since-last-earnings-report?cid=CS-BENZ-FT-realtime_blog-823272,Zacks,2020-03-19 00:00:00,A
30,Agilent Technologies Announces Cash Dividend of –8 Cents Per Share,http://www.gurufocus.com/news/1078836/agilent-technologies-announces-cash-dividend-of-18-cents-per-share,GuruFocus,2020-03-18 00:00:00,A
31,"Agilent Technologies to Adjourn Annual Meeting Until April –7, —…—…",http://www.gurufocus.com/news/1077054/agilent-technologies-to-adjourn-annual-meeting-until-april-17-2020,GuruFocus,2020-03-17 00:00:00,A
